行号,原始反馈,命中结论
11,任务列表〖找不到任务〗,任务列表混乱
17,任务列表〖很杂乱〗,任务列表混乱
51,任务列表〖没有对地图按照地图进行分组〗,任务分类不清
62,任务列表〖太乱了〗,任务列表混乱
107,任务列表〖感觉没有调好区域任务的分类〗,任务分类不清
119,任务列表〖任务多的情况下根本找不到想要做的任务，而且多数任务排列不分地区〗,任务分类不清；任务列表混乱
141,任务列表〖不够醒目〗,任务优先级弱
212,任务列表〖任务方格太大了，任务一多想要找到特定的任务要划很久的滚轮〗,任务列表混乱
220,任务列表〖任务一多就太乱了，不知道地图上哪个做到一半的任务是什么〗,任务列表混乱
238,任务列表〖太杂乱，没有视觉重点〗,任务优先级弱；任务分类不清；任务列表混乱
241,任务列表〖每日任务在最下面，每次都要找〗,任务优先级弱
242,任务列表〖支线太杂，不够直观〗,任务分类不清
394,任务列表〖冗长〗,任务列表混乱
405,任务列表〖列表过于臃肿〗,任务列表混乱
407,任务列表〖主线和道引等任务颜色太相近了〗,任务分类不清
414,任务列表〖如果选择先行体验剧情没法做之前的剧情〗,任务优先级弱
434,任务列表〖能不能出一个任务种类叠加？〗,任务分类不清
455,任务列表〖没之前有辨识度了〗,任务分类不清
466,任务列表〖一格子太大，任务多往下拉不方便〗,任务列表混乱
480,任务列表〖任务列表太乱了，我这种好多任务都没做，找个特定任务都很费劲〗┋任务详情〖这个地方没啥问题〗,任务列表混乱
503,任务列表┋其他〖一堆任务杂乱无章〗,任务列表混乱
509,任务列表〖主线任务完，会出现一大堆的支线任务，看得我头皮发麻，要不以后支线还是自己去接取吧〗,任务分类不清
663,任务列表〖可能我太多任务没做吧，看着压力好大哈哈哈〗,任务列表混乱
743,任务列表〖展示的任务太多了，给人的压力太大了〗,任务列表混乱
956,任务列表〖不同的任务分类很多很杂，但是不知道区别或区别的提示不明显〗,任务分类不清
975,任务列表〖有时候，主线任务完成了，应该继续潮汐续文，而不是直接接取其他支线任务〗,任务分类不清
1006,任务列表〖希望根据地图大致区域分类〗,任务分类不清
1008,任务列表〖太乱了0〗,任务列表混乱
1070,任务列表〖知道为新的纪闻任务加一个分类，就不能把老任务也调整一下？〗,任务分类不清
1089,任务列表〖太杂〗,任务分类不清
1101,任务列表〖支线任务缺少地区分类，想集中完成困难〗,任务分类不清
1199,任务列表〖太多太杂，堆压任务太多的情况还是不够直观〗,任务分类不清；任务列表混乱
1217,任务列表〖太过冗长〗,任务列表混乱
1238,任务列表〖感觉还是太乱了〗,任务列表混乱
1276,任务列表〖有点杂乱〗,任务列表混乱
1279,任务列表〖有较多任务未清的时候，应给个官方通关优先级〗,任务优先级弱
1387,任务列表〖有时候，找不到〗,任务列表混乱
1393,任务列表〖潮汐续闻为什么不用全新的颜色？右上角的标志一点都不明显，每次还要自己找半天〗,任务优先级弱
1496,任务列表〖区域和区域的混在一起，学院单独划在一个汇总里但是之前的区域任务没有分开〗,任务分类不清
1590,任务列表〖潮汐续闻希望单开一列〗,任务优先级弱
1601,任务列表〖太过杂乱〗,任务列表混乱
1610,任务列表〖太杂乱了〗┋任务详情〖引导有点模糊〗,任务分类不清；任务列表混乱
1679,任务列表〖任务分类太烂了，每次翻纪闻任务都要翻到最下面，但纪闻任务又是游戏里面最多的任务〗,任务分类不清
1681,任务列表〖地区繁杂，没有指定性〗,任务分类不清
1703,任务列表〖有些杂乱的感觉〗,任务列表混乱
1724,任务列表〖非常混乱，而且为啥主线必须要过次线才行？！！！〗┋任务详情〖详情不说清楚，中途退出去再进来就没有指引了，任务就说找谁谁谁，他喵的地图这么大没指引找谁呀〗,任务分类不清
1738,任务列表〖没玩过二游的不好区分哪个是主线〗,任务分类不清
1777,任务列表〖看不出任务收益，挂一堆不知道做哪个优先级高〗,任务优先级弱
1780,任务列表〖竖向分类任务多找不方便〗,任务分类不清
1787,任务列表〖有些任务找不到〗,任务列表混乱
1885,任务列表〖希望日常任务能变成一号位〗,任务优先级弱
1990,任务列表〖太乱了〗,任务列表混乱
2054,任务列表〖任务太多时，翻阅还是不够方便，想找某个特定任务也不清楚到底应该属于什么分类〗,任务分类不清；任务列表混乱
2144,任务列表〖不同地区都挤一起了〗,任务分类不清
2297,任务列表〖直线太多，混乱，会追踪到错误任务〗,任务列表混乱
2309,任务列表〖分类不够具体〗,任务分类不清
2323,任务列表〖杂乱〗,任务列表混乱
2422,任务列表〖任务堆叠〗,任务列表混乱
2430,任务列表〖对新人可能会有过多任务（支线、伴星等），过多的任务一览可能会有较大的推进压力，可能需要一定的指引推进以引导新人更好地体验某些关键支线剧情〗,任务分类不清
2454,任务列表〖任务分类过多，任务类型标注不明确〗,任务分类不清
2463,任务列表〖任务列表不够直观〗,任务分类不清
2514,任务列表〖太多了，很多支线任务本来也不想做，留在列表里面占地方，越来越多。〗,任务分类不清；任务列表混乱
2546,任务列表〖任务种类辨识度不够〗,任务分类不清
2601,任务列表〖东西太多了，全杂在一起〗┋任务详情〖任务指引太差，任务之间冲突也没说明好〗,任务分类不清；任务列表混乱
2674,任务列表〖太多太乱了，长时间没玩回坑之后不知道该打那个〗,任务列表混乱
2759,任务列表〖不够明确，有的时候找不到〗,任务列表混乱
2793,任务列表〖主线过完，潮汐续闻太靠下了.任务一多翻不过来〗,任务优先级弱；任务分类不清
2824,任务列表〖感觉，乱要不来点地区的分类〗,任务分类不清
2853,任务列表┋任务详情┋其他〖这个对我关注不太多，基本上是老玩家了，任务都是空的〗,任务列表混乱
2939,任务列表〖不做任务的时候看起来很杂乱，不是很有分类〗,任务分类不清；任务列表混乱
2967,任务列表〖潮汐续闻应该有限置顶 后续有新增任务时也应该置顶表现〗,任务优先级弱
3096,任务列表〖任务没有非常明确的分类和分界线，尤其是刚开图，星炬学院与暗塬的任务杂在一起，感觉非常混乱〗┋任务详情〖介绍不够完善〗,任务分类不清
3180,任务列表〖建议跟活动一样侧面给快速跳到其他大类的功能，目前如果任务堆的太多，手柄找任务会比较慢〗┋任务详情〖其实还好，就是很多任务有点水〗,任务列表混乱
3273,任务列表〖分类看起来不够明显，任务数量多时观感不好〗,任务分类不清
3336,任务列表〖看着太乱了〗,任务列表混乱
3349,任务列表〖界面不够明确，任务冗余不好分类〗,任务分类不清
3358,任务列表〖任务太多了〗,任务列表混乱
3435,任务列表〖能不能出一个隐藏任务的功能，太杂了〗,任务分类不清
3517,任务列表〖太杂了〗,任务分类不清
3607,任务列表〖太多任务太乱了〗,任务列表混乱
3651,任务列表〖太臃肿〗,任务列表混乱
3752,任务列表〖还是太乱了〗,任务列表混乱
3786,任务列表┋其他〖任务界面太多太杂，没有重要程度之分〗,任务分类不清；任务列表混乱
3897,任务列表〖太杂了〗┋任务详情〖任务追踪太烂了〗┋其他〖任务光说干嘛找不到路，不是一口气玩完剧情的后面续不上还要看攻略才能知道下个剧情在哪〗,任务分类不清；任务列表混乱
3945,任务列表〖任务流程可以放专注里，专注时其他任务列表消失留任务流程，不然有点杂乱〗,任务列表混乱
3979,任务列表〖部分触发型支线查缺补漏不太方便〗,任务分类不清
3995,任务列表〖感觉有些臃肿〗,任务列表混乱
4061,任务列表〖杂乱〗,任务列表混乱
4126,任务列表〖支线任务留多了有些麻烦，有些支线还得去到某处接取〗,任务分类不清
